,episode,reward
530,530,-481.3360369066668
531,531,3223.350125971822
532,532,4299.1455272342355
533,533,448.73874174722414
534,534,-1530.8865424945843
535,535,-143.31949108368985
536,536,6053.9239325534245
537,537,2118.332572441639
538,538,-318.57046540555916
539,539,1247.8728244925005
540,540,-10.151064238451
541,541,-3203.7696772126455
542,542,-220.8805010183725
543,543,-665.5957331306988
544,544,-439.24243807342305
545,545,-5655.6646716666655
546,546,-949.7764209077234
547,547,-4220.3470992094435
548,548,-1592.3314139780166
549,549,5234.109185359783
550,550,-826.0529841159528
551,551,-3086.326160678698
552,552,503.56943423429357
553,553,-380.85850523870397
554,554,1850.8720916219245
555,555,-1669.0994068406771
556,556,-1975.2556609407827
557,557,-627.2788782599575
558,558,-1630.006342758317
559,559,9938.120246410686
560,560,71.04289085811479
561,561,-6599.091583370701
562,562,-2362.0935800298294
563,563,5961.83812106436
564,564,1601.2355989781372
565,565,80.72344381107496
566,566,357.9032722862821
567,567,1678.8576259401657
568,568,-2268.5575285024
569,569,2374.902978166337
570,570,1247.7519060707675
571,571,3977.7735303191926
572,572,-2397.929641668828
573,573,5024.878112695768
574,574,-6106.903896766039
575,575,-6443.942389508686
576,576,-2883.7053894254323
577,577,-5858.235151740495
578,578,-2856.295369534979
579,579,-2741.22059134576
580,580,-2916.655214435742
581,581,6369.4269422727175
582,582,5559.426396085208
583,583,2286.537282086494
584,584,910.766357533074
585,585,-2439.764412816645
586,586,-3166.8409976162648
587,587,-4643.358912445549
588,588,-6200.93383207582
589,589,-5394.383570847831
590,590,-3465.7627361115938
591,591,6426.127697757621
592,592,-2363.5554548558243
593,593,-721.350016956859
594,594,-396.142705499052
595,595,393.1751162102394
596,596,-1987.931011535196
597,597,-889.7679327488156
598,598,1138.042379953582
599,599,966.8133659068071
600,600,-1039.4120474997476
601,601,-28.369957377455673
602,602,1785.4337868827001
603,603,1077.8098838505418
604,604,3805.7748228770342
605,605,1195.4101539582102
606,606,1985.5020838338514
607,607,1394.9351665929344
608,608,7175.984103815628
609,609,-31.65073014643599
610,610,-555.0453636570157
611,611,-1142.9617180208581
612,612,818.3071119537803
613,613,3142.2819125935193
614,614,482.9521241419784
615,615,-1009.7756845449624
616,616,-5303.257347456562
617,617,-2093.2647792380876
618,618,5043.745132455743
619,619,1817.9011558997163
620,620,-1214.2857512959363
621,621,-616.0969714884434
622,622,-402.262809421591
623,623,-2831.6052401014986
624,624,-924.2350771614944
625,625,6356.249803372748
626,626,6307.039844274738
627,627,2041.331156559514
628,628,1049.219467007453
629,629,4173.130844768658
630,630,3854.581054863219
631,631,4724.4120545622145
632,632,-2552.507124145899
633,633,-1049.2568540896734
634,634,392.54855570853033
635,635,1567.529885035226
636,636,2846.461279059934
637,637,8406.831496995906
638,638,7410.118390951891
639,639,-2627.645673781928
640,640,5411.985033888442
641,641,7612.450853854127
642,642,473.10712211260534
643,643,1030.0618118800162
644,644,-438.6014911082136
645,645,-632.8665029277327
646,646,-168.14618675239717
647,647,356.5005641072781
648,648,-277.3269521201735
649,649,1706.6054029653014
650,650,-3621.6325606302757
651,651,5248.9607693577955
652,652,10467.270932339161
653,653,2757.0930045485834
654,654,8251.540976124334
655,655,528.9613625474492
656,656,-595.4806330788779
657,657,7070.584518951868
658,658,4362.849251351303
659,659,-399.3048862376347
660,660,-539.2793387887441
661,661,10661.564463724637
662,662,3004.4341359755254
663,663,1219.3795946441146
664,664,-75.37359157256742
665,665,-5235.296373019666
666,666,-1234.9648722686088
667,667,-58.74376696569175
668,668,2600.2659779675796
669,669,491.2199815272588
670,670,7141.098890174715
671,671,-533.788475838739
672,672,4079.5245840997786
673,673,9774.940947217146
674,674,-3492.553959059756
675,675,5916.758170070489
676,676,-1382.6242661493839
677,677,-336.5670082197755
678,678,2927.74444313121
679,679,-2015.3006541764892
680,680,515.4164280286523
681,681,-205.21435519840924
682,682,1102.353914693167
683,683,-781.2237548091291
684,684,-2165.876882498587
685,685,-3323.349741040229
686,686,-819.1892963319744
687,687,-370.37424729000963
688,688,-6196.828009894469
689,689,-166.83780936705216
690,690,2532.7819756205317
691,691,2086.4422872964587
692,692,7463.248346370086
693,693,-1143.8367006051662
694,694,745.4716396885706
695,695,12237.583907043683
696,696,-1490.8351232837156
697,697,-3507.0974276570805
698,698,6927.188964847739
699,699,2673.0943053535348
700,700,-3959.5262966543823
701,701,-2025.5307214685038
702,702,4484.168663609344
703,703,-118.9942098370093
704,704,-1444.800925390994
705,705,659.4580647502485
706,706,-317.8144381673833
707,707,7068.371353611215
708,708,-2622.9157822622337
709,709,-1460.0220214847586
710,710,5737.819256579209
711,711,3057.3256295253677
712,712,3120.0069390927592
713,713,6307.950260351659
714,714,-132.56411994256928
715,715,6781.554059567925
716,716,-3621.3992116301124
717,717,1162.9005043190182
718,718,-11312.69713781626
719,719,147.57704496503948
720,720,-1435.5351655429276
721,721,4327.606712261537
722,722,5051.371462743852
723,723,6157.550219741318
724,724,-645.7075601756028
725,725,-2164.589823383213
726,726,-645.1346227903225
727,727,2805.201491574408
728,728,-3358.373127200287
729,729,-3524.739523458592
730,730,-3240.9206051261385
731,731,-3350.8836195636477
732,732,-646.4995205802225
733,733,-3816.8495486689944
734,734,-401.78675640235497
735,735,1260.229979000052
736,736,-3602.514513448103
737,737,7724.943281638928
738,738,-3449.2689059245145
739,739,-994.4761841390912
740,740,2481.363065731578
741,741,1303.167611534227
742,742,5642.202469373651
743,743,-845.2815722967189
744,744,-4476.933189024692
745,745,-191.9058873013737
746,746,1072.3953816028638
747,747,-75.77885504042297
748,748,-1090.0863065915582
749,749,9.100900904239097
750,750,1682.9176657770245
751,751,4621.698520820283
752,752,4679.447626687638
753,753,-1421.3008909024095
754,754,5545.955641265648
755,755,2037.9564926884855
756,756,1308.3893082473678
757,757,1303.9135009352653
758,758,-3282.5097372172186
759,759,3247.0318319699263
760,760,719.0395729056836
761,761,1732.89232505485
762,762,-461.23794840610367
763,763,-3451.361927477868
764,764,3856.4802407128614
765,765,5156.501182152605
766,766,6818.168499534624
767,767,3486.8258014962603
768,768,-1119.9429435202824
769,769,-1775.0329745316128
770,770,2765.347455316717
771,771,-915.6296173382117
772,772,1584.313998861504
773,773,-394.13227493537556
774,774,7098.305665782893
775,775,-326.9592097380694
776,776,5709.963334168507
777,777,-601.588286472876
778,778,1499.3233695220697
779,779,-1075.6825979480072
780,780,1339.581926238855
781,781,1386.6396674754274
782,782,8590.334395001672
783,783,6219.04731390786
784,784,8738.448745044092
785,785,1603.644975520561
786,786,6619.255409288653
787,787,10340.542030617427
788,788,-211.73385599261633
789,789,-223.3850949076675
790,790,3413.81540733727
791,791,1808.859250755557
792,792,1808.8743262646112
793,793,8598.90182475901
794,794,-2364.610206053414
795,795,-637.8390285072107
796,796,5251.077337990218
797,797,711.4515130048039
798,798,2183.6595757749296
799,799,-1905.830240545264
800,800,-541.4940258257886
801,801,-2126.7007682469075
802,802,919.4327006494377
803,803,878.4190050695365
804,804,-1923.6117752541013
805,805,1333.3632845286697
806,806,316.93519956404276
807,807,8869.73244007365
808,808,-256.9476494588123
809,809,4348.731573353314
810,810,8736.747861709033
811,811,2310.512003108697
812,812,-1516.0296306723546
813,813,-653.0994513759672
814,814,957.6939064490002
815,815,2451.3236760040663
816,816,3488.59365314109
817,817,2324.220737718301
818,818,1811.4666700117414
819,819,-1510.8971466890612
820,820,4199.675588526257
821,821,1578.5825582522746
822,822,4366.076563833313
823,823,3265.5288088559655
824,824,4981.194843004188
825,825,1699.4520019834722
826,826,-84.35074924544779
827,827,-416.77359994590665
828,828,5878.5771327734465
829,829,6199.312447043208
830,830,1172.6977511033124
831,831,574.815901735728
832,832,6966.589360034892
833,833,2803.540999960313
834,834,-2910.7868056386296
835,835,9381.126349342163
836,836,665.3248242065806
837,837,6334.8406042102015
838,838,3589.8510812751865
839,839,4317.545250887658
840,840,-630.9451890086957
841,841,7671.222348043382
842,842,389.72329971966474
843,843,1990.4934052778099
844,844,5685.713996555483
845,845,-679.5370193553622
846,846,946.9251147054069
847,847,2971.9503816728065
848,848,9481.488915582646
849,849,5735.193044861825
850,850,2669.0310769419157
851,851,8456.071594810763
852,852,5961.267686770833
853,853,-429.05005630199935
854,854,857.3755438313674
855,855,1308.5972050818086
856,856,3982.852787200195
857,857,5308.176932074966
858,858,-2158.132596358628
859,859,-2270.060686879465
860,860,6580.462054661891
861,861,-492.2321624735257
862,862,7971.238551141074
863,863,-466.6391413421395
864,864,-2918.489616757262
865,865,3395.0519450877728
866,866,838.0815160676402
867,867,-260.12032464896015
868,868,-1613.0380412702493
869,869,-771.5084054887814
870,870,6827.4474115403
871,871,-1394.8770744018193
872,872,817.0958341754217
873,873,-1093.7562002954426
874,874,2480.4841181215306
875,875,4939.483927012058
876,876,1410.9294331504643
877,877,1317.230400283596
878,878,4170.441654868564
879,879,7974.376970683923
880,880,-858.3935582857412
881,881,4741.751952446311
882,882,-764.9319004752006
883,883,-271.77642904416666
884,884,-3068.7789949324224
885,885,3596.309674847432
886,886,1780.1961817052252
887,887,-2951.5336344397574
888,888,4434.468389921192
889,889,4104.191915451836
890,890,-795.5385970072741
891,891,3640.680311322597
892,892,2638.0210492062224
893,893,11624.457286718682
894,894,1338.3970857436939
895,895,870.3692862533535
896,896,479.67535401743766
897,897,-434.57126595837303
898,898,4597.422358392257
899,899,-478.87708711255164
900,900,-2673.134046550165
901,901,1048.7391471547385
902,902,10868.907584704832
903,903,5898.482322828641
904,904,4673.729222439769
905,905,2211.9781001244764
906,906,6604.268393700762
907,907,9643.568637243961
908,908,9265.860669497175
909,909,3157.7107486955465
910,910,2758.5313101530055
911,911,1206.567288995489
912,912,208.7545060691111
913,913,-2863.501577824507
914,914,5449.523516779356
915,915,1209.3179243083046
916,916,8473.355799940888
917,917,656.1204343297654
918,918,6729.682703723498
919,919,2377.4995870342723
920,920,4404.6217488756265
921,921,-1809.129339300398
922,922,633.2465577059884
923,923,6698.231813235896
924,924,-30.774164603368718
925,925,4731.904876111883
926,926,-238.58277091248397
927,927,6812.129432126551
928,928,9866.532562817758
929,929,3297.4722734950847
930,930,-1268.0234418460489
931,931,-1783.6396547345623
932,932,2642.2117987383244
933,933,-1729.7089203160194
934,934,9238.569376190346
935,935,-1500.1647896007057
936,936,2282.288911577021
937,937,509.9910120261812
938,938,7949.7641749300055
